,A,B,S,C
32,['age=35+'],['number of children=0'],0.285631180919139,0.6888810943528586
33,['education=college graduate'],['language in home=english'],0.27850494473531123,0.9447459299457326
34,['language in home=english'],['sex=female'],0.512216404886562,0.5610960649992034
35,['sex=female'],['language in home=english'],0.512216404886562,0.9246521396692046
36,['number of children=0'],['dual incomes=not married'],0.3970331588132635,0.6384471468662302
37,['dual incomes=not married'],['number of children=0'],0.3970331588132635,0.6635877491492465
38,['dual incomes=yes'],['language in home=english'],0.2338568935427574,0.9230769230769231
39,['marital status=single'],['education=no college graduate'],0.3206806282722513,0.7838606469960896
40,['age=14-34'],['householder status=rent'],0.2939208842350204,0.502111801242236
41,['householder status=rent'],['age=14-34'],0.2939208842350204,0.7012491325468425
42,['education=college graduate'],['ethnic classification=white'],0.22353112274578243,0.7582634435125801
43,['age=35+'],['ethnic classification=white'],0.31559045956951715,0.7611364433532094
44,['marital status=single'],['number in household=1'],0.2545084351367074,0.6221116246000711
45,['occupation=professional/managerial'],['language in home=english'],0.32344386271087844,0.9532790398628376
46,['ethnic classification=white'],['dual incomes=not married'],0.3820535194880745,0.5704668838219327
47,['dual incomes=not married'],['ethnic classification=white'],0.3820535194880745,0.6385512882839086
48,['education=no college graduate'],"['income=$0-$40,000']",0.501890634089587,0.7116931326046607
49,"['income=$0-$40,000']",['education=no college graduate'],0.501890634089587,0.8063084112149532
50,['number of children=0'],['sex=female'],0.32126236183827805,0.5166043030869972
51,['sex=female'],['number of children=0'],0.32126236183827805,0.579942242058283
52,['marital status=married'],['number in household=1'],0.2581442699243746,0.6693061840120663
53,['number of children=1+'],['years in bay area=10+'],0.25945317044793487,0.6861538461538461
54,['sex=male'],['ethnic classification=white'],0.2905759162303665,0.651450929246821
55,['ethnic classification=white'],['sex=female'],0.37914485165794065,0.5661237785016286
56,['sex=female'],['ethnic classification=white'],0.37914485165794065,0.6844316093462851
57,['occupation=professional/managerial'],"['income=$40,000+']",0.20026178010471204,0.5902271753107586
58,"['income=$40,000+']",['occupation=professional/managerial'],0.20026178010471204,0.5304314329738059
59,['marital status=single'],"['income=$0-$40,000']",0.33027923211169286,0.8073231425524351
60,"['income=$0-$40,000']",['marital status=single'],0.33027923211169286,0.530607476635514
61,"['income=$40,000+']",['language in home=english'],0.35500290866783013,0.9402927580893683
62,['ethnic classification=white'],"['income=$0-$40,000']",0.38670738801628857,0.577415852334419
63,"['income=$0-$40,000']",['ethnic classification=white'],0.38670738801628857,0.6212616822429906
64,['age=35+'],['sex=female'],0.23734729493891799,0.5724307260610312
65,['householder status=own'],['age=35+'],0.2811227457824316,0.7480650154798761
66,['age=35+'],['householder status=own'],0.2811227457824316,0.6780077165906699
67,['number of children=0'],['number in household=1'],0.5532286212914486,0.8896164639850327
68,['number in household=1'],['number of children=0'],0.5532286212914486,0.79966365356317
69,['age=35+'],"['income=$40,000+']",0.22876672484002328,0.5517362329007366
70,"['income=$40,000+']",['age=35+'],0.22876672484002328,0.6059322033898306
71,['years in bay area=1-9'],['dual incomes=not married'],0.2238219895287958,0.6333333333333333
72,['sex=female'],['education=no college graduate'],0.4051774287376382,0.7314255710160147
73,['education=no college graduate'],['sex=female'],0.4051774287376382,0.5745514539080223
74,['years in bay area=10+'],['sex=female'],0.3702734147760326,0.5726495726495726
75,['sex=female'],['years in bay area=10+'],0.3702734147760326,0.6684169073247571
76,['years in bay area=10+'],['education=no college graduate'],0.4741128563118092,0.7332433648223122
77,['education=no college graduate'],['years in bay area=10+'],0.4741128563118092,0.672303567745927
78,['age=14-34'],"['income=$0-$40,000']",0.4365910413030832,0.7458385093167702
79,"['income=$0-$40,000']",['age=14-34'],0.4365910413030832,0.7014018691588785
80,['sex=male'],['language in home=english'],0.4006689936009308,0.8982719269644603
81,"['income=$40,000+']",['education=no college graduate'],0.20331588132635253,0.5385208012326657
82,['number of children=1+'],['education=no college graduate'],0.3064281559045957,0.8103846153846154
83,['number of children=0'],['age=14-34'],0.33624200116346714,0.5406922357343311
84,['age=14-34'],['number of children=0'],0.33624200116346714,0.5744099378881987
85,['years in bay area=1-9'],"['income=$0-$40,000']",0.23618382780686445,0.6683127572016461
86,['age=35+'],['years in bay area=10+'],0.31442699243746364,0.758330410382322
87,['type of home=house'],['dual incomes=not married'],0.3110820244328098,0.5214529497805949
88,['dual incomes=not married'],['type of home=house'],0.3110820244328098,0.519931939718036
89,['language in home=english'],['number of children=0'],0.5801337987201861,0.6354946630555998
90,['number of children=0'],['language in home=english'],0.5801337987201861,0.9328811973807296
91,['type of home=apartment'],['language in home=english'],0.24970913321698662,0.9060686015831134
92,['householder status=own'],['number in household=1'],0.2715241419429901,0.7225232198142415
93,['number of children=1+'],['sex=female'],0.2326934264107039,0.6153846153846154
94,['householder status=rent'],['language in home=english'],0.38379872018615474,0.9156835530881332
95,['occupation=professional/managerial'],['years in bay area=10+'],0.20927865037812682,0.6168024003429061
96,['marital status=married'],['type of home=house'],0.281413612565445,0.7296380090497737
97,['type of home=house'],"['income=$0-$40,000']",0.3193717277486911,0.5353486104339347
98,"['income=$0-$40,000']",['type of home=house'],0.3193717277486911,0.5130841121495328
99,['ethnic classification=white'],['type of home=house'],0.406195462478185,0.606514657980456
100,['type of home=house'],['ethnic classification=white'],0.406195462478185,0.6808873720136519
101,['number in household=1'],['dual incomes=not married'],0.42073880162885396,0.608156401093126
102,['dual incomes=not married'],['number in household=1'],0.42073880162885396,0.7032085561497327
103,['years in bay area=10+'],['number in household=1'],0.439499709133217,0.6797121007647323
104,['number in household=1'],['years in bay area=10+'],0.439499709133217,0.6352743325625394
105,['number of children=1+'],['number in household=2+'],0.2395287958115183,0.6334615384615384
106,['number in household=2+'],['number of children=1+'],0.2395287958115183,0.7772534214252006
107,['education=college graduate'],['number of children=0'],0.22309482257126237,0.7567834237789837
108,['marital status=married'],['ethnic classification=white'],0.2786503781268179,0.722473604826546
109,['number in household=1'],"['income=$0-$40,000']",0.4281559045956952,0.6188774437670801
110,"['income=$0-$40,000']",['number in household=1'],0.4281559045956952,0.6878504672897197
111,['sex=male'],['number of children=0'],0.3006108202443281,0.6739484838604499
112,['number in household=2+'],['education=no college graduate'],0.2534904013961606,0.8225578102878717
113,['number of children=1+'],"['income=$0-$40,000']",0.23763816172193136,0.6284615384615385
114,"['income=$40,000+']",['type of home=house'],0.27719604421175104,0.734206471494607
115,['sex=female'],['dual incomes=not married'],0.31529959278650377,0.5691782620110265
116,['dual incomes=not married'],['sex=female'],0.31529959278650377,0.5269810403500244
117,['years in bay area=1-9'],['number of children=0'],0.23472949389179756,0.6641975308641975
118,['number in household=2+'],['language in home=english'],0.26337987201861546,0.854648419065597
119,['type of home=apartment'],['householder status=rent'],0.25072716695753344,0.9097625329815303
120,['householder status=rent'],['type of home=apartment'],0.25072716695753344,0.5981956974323387
121,['number in household=2+'],['type of home=house'],0.2502908667830134,0.8121755545068429
122,['years in bay area=1-9'],['householder status=rent'],0.20855148342059338,0.5901234567901235
123,['language in home=english'],"['income=$0-$40,000']",0.5578824898196626,0.6111199617651745
124,"['income=$0-$40,000']",['language in home=english'],0.5578824898196626,0.8962616822429906
125,['sex=male'],['age=14-34'],0.268760907504363,0.6025432018258885
126,"['income=$40,000+']",['number in household=1'],0.26367073880162883,0.698382126348228
127,['occupation=professional/managerial'],['ethnic classification=white'],0.2533449680046539,0.7466780968709815
128,['years in bay area=1-9'],['ethnic classification=white'],0.2399650959860384,0.6790123456790124
129,['years in bay area=10+'],['type of home=house'],0.4363001745200698,0.6747638326585695
130,['type of home=house'],['years in bay area=10+'],0.4363001745200698,0.7313505607020966
131,['age=14-34'],['dual incomes=not married'],0.4396451425247237,0.751055900621118
132,['dual incomes=not married'],['age=14-34'],0.4396451425247237,0.7348079727758872
133,['ethnic classification=white'],['age=14-34'],0.35413030831879,0.5287730727470141
134,['age=14-34'],['ethnic classification=white'],0.35413030831879,0.6049689440993788
135,['dual incomes=not married'],"['income=$0-$40,000']",0.4621873182082606,0.772484200291687
136,"['income=$0-$40,000']",['dual incomes=not married'],0.4621873182082606,0.7425233644859813
137,['marital status=married'],['years in bay area=10+'],0.2670157068062827,0.6923076923076923
138,['type of home=apartment'],['number in household=1'],0.24098312972658523,0.8744063324538258
139,['sex=male'],['dual incomes=not married'],0.28301337987201863,0.6344962504075644
140,['marital status=married'],['age=35+'],0.25639906922629435,0.6647812971342383
141,['age=35+'],['marital status=married'],0.25639906922629435,0.6183795159593125
142,['type of home=apartment'],['age=14-34'],0.20346131471785922,0.7382585751978892
143,['number of children=0'],['education=no college graduate'],0.3987783595113438,0.6412535079513564
144,['education=no college graduate'],['number of children=0'],0.3987783595113438,0.5654774180243349
145,['householder status=own'],['marital status=married'],0.2614892379290285,0.6958204334365325
146,['marital status=married'],['householder status=own'],0.2614892379290285,0.6779788838612368
147,['sex=male'],['years in bay area=10+'],0.2763234438627109,0.6194978806651451
148,['language in home=english'],['education=no college graduate'],0.6343804537521816,0.6949179544368329
149,['education=no college graduate'],['language in home=english'],0.6343804537521816,0.8995669210146422
150,['householder status=rent'],['ethnic classification=white'],0.2773414776032577,0.6616932685634975
151,['education=no college graduate'],['number in household=1'],0.45171611401977896,0.6405444421530212
152,['number in household=1'],['education=no college graduate'],0.45171611401977896,0.652932520496111
153,['type of home=house'],['age=14-34'],0.3102094240837696,0.5199902486591906
154,['age=14-34'],['type of home=house'],0.3102094240837696,0.5299378881987578
155,['education=no college graduate'],['age=14-34'],0.45898778359511344,0.6508558465663024
156,['age=14-34'],['education=no college graduate'],0.45898778359511344,0.7840993788819876
157,['type of home=apartment'],['number of children=0'],0.21378708551483422,0.7757255936675461
158,['age=35+'],['type of home=house'],0.28635834787667247,0.6906348649596633
159,['marital status=single'],['type of home=house'],0.22774869109947643,0.5567010309278351
160,['language in home=english'],['type of home=house'],0.5446480511925538,0.5966225904094312
161,['type of home=house'],['language in home=english'],0.5446480511925538,0.9129692832764505
162,['sex=male'],['number in household=1'],0.3183536940081443,0.7137267688294751
163,['age=35+'],['language in home=english'],0.38801628853984876,0.9358119957909505
164,['education=no college graduate'],['type of home=house'],0.42655613728912156,0.6048669828830687
165,['type of home=house'],['education=no college graduate'],0.42655613728912156,0.7150170648464164
166,['marital status=single'],['ethnic classification=white'],0.2524723676556137,0.6171347316032705
167,['sex=female'],['type of home=house'],0.3379872018615474,0.610133893410344
168,['type of home=house'],['sex=female'],0.3379872018615474,0.5665529010238908
169,['years in bay area=1-9'],['education=no college graduate'],0.2310936591041303,0.6539094650205761
170,['householder status=own'],['sex=female'],0.2223676556137289,0.5917182662538699
171,"['income=$40,000+']",['years in bay area=10+'],0.260325770796975,0.689522342064715
172,['marital status=single'],['language in home=english'],0.3647469458987784,0.8915748311411305
173,['occupation=professional/managerial'],['number in household=1'],0.26817917393833623,0.7903986283754822
174,['type of home=apartment'],['dual incomes=not married'],0.20607911576497964,0.7477572559366754
175,"['income=$40,000+']",['sex=female'],0.2025887143688191,0.5365947611710323
176,['householder status=own'],['years in bay area=10+'],0.2878126817917394,0.7658668730650154
177,['number in household=1'],['age=14-34'],0.3742001163467132,0.5408871137271389
178,['age=14-34'],['number in household=1'],0.3742001163467132,0.6392546583850932
179,['householder status=rent'],['education=no college graduate'],0.2920302501454334,0.6967383761276891
180,['education=college graduate'],['number in household=1'],0.2401105293775451,0.8145041933892452
181,['occupation=professional/managerial'],['number of children=0'],0.23807446189645143,0.7016716673810545
182,['sex=male'],['education=no college graduate'],0.30002908667830136,0.6726442777958918
183,['years in bay area=10+'],['language in home=english'],0.6013670738801629,0.9300494826810616
184,['language in home=english'],['years in bay area=10+'],0.6013670738801629,0.6587541819340449
185,['marital status=single'],['years in bay area=10+'],0.24796393251890633,0.6061144685389264
186,['years in bay area=10+'],['age=14-34'],0.3321698662012798,0.5137201979307242
187,['age=14-34'],['years in bay area=10+'],0.3321698662012798,0.5674534161490683
188,['number of children=0'],['householder status=rent'],0.31282722513089006,0.5030402245088869
189,['householder status=rent'],['number of children=0'],0.31282722513089006,0.7463566967383761
190,['sex=male'],['type of home=house'],0.2585805700988947,0.57971959569612
191,['number of children=0'],['ethnic classification=white'],0.4534613147178592,0.7291861552853134
192,['ethnic classification=white'],['number of children=0'],0.4534613147178592,0.6770901194353963
193,['householder status=rent'],['years in bay area=10+'],0.21058755090168702,0.5024288688410826
194,['age=35+'],['education=no college graduate'],0.24621873182082607,0.5938267274640477
195,['marital status=married'],['number of children=0'],0.21335078534031413,0.5531674208144797
196,['householder status=own'],['education=no college graduate'],0.21771378708551484,0.5793343653250774
197,['sex=female'],"['income=$0-$40,000']",0.35136707388016286,0.6342872144919927
198,"['income=$0-$40,000']",['sex=female'],0.35136707388016286,0.5644859813084112
199,['householder status=own'],['type of home=house'],0.3161721931355439,0.8413312693498453
200,['type of home=house'],['householder status=own'],0.3161721931355439,0.529985372988786
201,['years in bay area=10+'],['dual incomes=not married'],0.37449098312972656,0.5791722896986055
202,['dual incomes=not married'],['years in bay area=10+'],0.37449098312972656,0.6259115216334468
203,['marital status=single'],['number of children=0'],0.2484002326934264,0.6071809456096694
204,['number of children=1+'],['age=14-34'],0.24912739965095987,0.6588461538461539
205,['householder status=own'],"['income=$40,000+']",0.24360093077370565,0.6482198142414861
206,"['income=$40,000+']",['householder status=own'],0.24360093077370565,0.6452234206471494
207,['number in household=2+'],['years in bay area=10+'],0.20709714950552646,0.6720151014629542
208,['number of children=1+'],['ethnic classification=white'],0.21625945317044792,0.571923076923077
209,['number of children=1+'],['type of home=house'],0.2812681791739383,0.7438461538461538
210,['age=14-34'],['marital status=single'],0.3654741128563118,0.6243478260869565
211,['marital status=single'],['age=14-34'],0.3654741128563118,0.8933522929257021
212,"['income=$40,000+']",['number of children=0'],0.2370564281559046,0.6278890600924499
213,['marital status=married'],['language in home=english'],0.3551483420593368,0.920814479638009
214,['education=no college graduate'],['dual incomes=not married'],0.4534613147178592,0.6430191792122087
215,['dual incomes=not married'],['education=no college graduate'],0.4534613147178592,0.7578998541565386
216,['marital status=married'],"['income=$40,000+']",0.2370564281559046,0.6146304675716441
217,"['income=$40,000+']",['marital status=married'],0.2370564281559046,0.6278890600924499
218,['years in bay area=10+'],['ethnic classification=white'],0.42975567190226877,0.664642375168691
219,['ethnic classification=white'],['years in bay area=10+'],0.42975567190226877,0.6416938110749185
220,['householder status=rent'],['number in household=1'],0.3413321698662013,0.8143650242886884
221,['householder status=own'],['language in home=english'],0.35471204188481675,0.9438854489164087
222,['number of children=0'],['type of home=house'],0.31529959278650377,0.5070159027128157
223,['type of home=house'],['number of children=0'],0.31529959278650377,0.5285226718673818
224,"['income=$40,000+']",['ethnic classification=white'],0.28301337987201863,0.7496147919876733
225,['type of home=apartment'],"['income=$0-$40,000']",0.22425828970331588,0.8137203166226913
226,['years in bay area=10+'],['number of children=0'],0.38714368819080863,0.598740440845704
227,['number of children=0'],['years in bay area=10+'],0.38714368819080863,0.6225444340505145
228,['language in home=english'],['dual incomes=not married'],0.5426119837114601,0.5943922255854708
229,['dual incomes=not married'],['language in home=english'],0.5426119837114601,0.9069032571706368
230,['dual incomes=not married'],['marital status=single'],0.40910413030831877,0.6837627613028683
231,['marital status=single'],['dual incomes=not married'],0.40910413030831877,1.0
232,['householder status=own'],['ethnic classification=white'],0.2844677137870855,0.7569659442724458
233,['householder status=rent'],"['income=$0-$40,000']",0.32329842931937175,0.7713393476752255
234,"['income=$0-$40,000']",['householder status=rent'],0.32329842931937175,0.5193925233644859
235,['years in bay area=10+'],"['income=$0-$40,000']",0.38627108784176845,0.5973909131803868
236,"['income=$0-$40,000']",['years in bay area=10+'],0.38627108784176845,0.6205607476635514
237,['age=35+'],['number in household=1'],0.31762652705061084,0.7660470010522623
238,['number in household=1'],['type of home=house'],0.34627690517742876,0.5005255413075468
239,['type of home=house'],['number in household=1'],0.34627690517742876,0.5804485616772306
240,"['sex=male', 'number of children=0']",['number in household=1'],0.2696335078534031,0.8969521044992743
241,['sex=male'],"['number in household=1', 'number of children=0']",0.2696335078534031,0.6044995109227258
242,"['sex=male', 'number in household=1']",['number of children=0'],0.2696335078534031,0.8469620831429877
243,"['marital status=married', 'language in home=english']",['education=no college graduate'],0.2165503199534613,0.6097461097461098
244,['marital status=married'],"['education=no college graduate', 'language in home=english']",0.2165503199534613,0.5614630467571644
245,"['education=no college graduate', 'marital status=married']",['language in home=english'],0.2165503199534613,0.9062690200852099
246,"['marital status=single', 'number in household=1']","['income=$0-$40,000']",0.20855148342059338,0.8194285714285714
247,['marital status=single'],"['income=$0-$40,000', 'number in household=1']",0.20855148342059338,0.509776039815144
248,"['income=$0-$40,000', 'marital status=single']",['number in household=1'],0.20855148342059338,0.631439894319683
249,"['sex=female', 'ethnic classification=white']",['number of children=0'],0.23865619546247818,0.6294591484464902
250,"['number of children=0', 'ethnic classification=white']",['sex=female'],0.23865619546247818,0.5262989095574085
251,"['number of children=0', 'sex=female']",['ethnic classification=white'],0.23865619546247818,0.7428700769578995
252,"['marital status=married', 'type of home=house']",['age=35+'],0.2123327515997673,0.7545219638242894
253,['marital status=married'],"['age=35+', 'type of home=house']",0.2123327515997673,0.55052790346908
254,"['age=35+', 'type of home=house']",['marital status=married'],0.2123327515997673,0.7414931437277806
255,['age=35+'],"['type of home=house', 'marital status=married']",0.2123327515997673,0.512101017186952
256,"['age=35+', 'marital status=married']",['type of home=house'],0.2123327515997673,0.8281338627339762
257,"['years in bay area=10+', 'language in home=english']",['education=no college graduate'],0.43586387434554974,0.7247883917775091
258,['years in bay area=10+'],"['education=no college graduate', 'language in home=english']",0.43586387434554974,0.6740890688259109
259,"['education=no college graduate', 'language in home=english']",['years in bay area=10+'],0.43586387434554974,0.68707015130674
260,['education=no college graduate'],"['language in home=english', 'years in bay area=10+']",0.43586387434554974,0.6180655805320685
261,"['education=no college graduate', 'years in bay area=10+']",['language in home=english'],0.43586387434554974,0.9193251533742332
262,"['ethnic classification=white', 'language in home=english']","['income=$0-$40,000']",0.38059918557300754,0.5770672546857772
263,['ethnic classification=white'],"['income=$0-$40,000', 'language in home=english']",0.38059918557300754,0.5682953311617807
264,"['income=$0-$40,000', 'language in home=english']",['ethnic classification=white'],0.38059918557300754,0.6822210636079249
265,"['income=$0-$40,000']","['ethnic classification=white', 'language in home=english']",0.38059918557300754,0.6114485981308411
266,"['income=$0-$40,000', 'ethnic classification=white']",['language in home=english'],0.38059918557300754,0.9842045881910493
267,"['dual incomes=not married', 'type of home=house']",['marital status=single'],0.22774869109947643,0.7321178120617111
268,"['marital status=single', 'type of home=house']",['dual incomes=not married'],0.22774869109947643,1.0
269,['marital status=single'],"['dual incomes=not married', 'type of home=house']",0.22774869109947643,0.5567010309278351
270,"['marital status=single', 'dual incomes=not married']",['type of home=house'],0.22774869109947643,0.5567010309278351
271,"['householder status=own', 'language in home=english']",['education=no college graduate'],0.20331588132635253,0.5731857318573186
272,['householder status=own'],"['education=no college graduate', 'language in home=english']",0.20331588132635253,0.5410216718266254
273,"['education=no college graduate', 'householder status=own']",['language in home=english'],0.20331588132635253,0.9338677354709419
274,"['number in household=1', 'number of children=0']",['householder status=rent'],0.28839441535776617,0.5212933753943217
275,"['householder status=rent', 'number of children=0']",['number in household=1'],0.28839441535776617,0.9218967921896792
276,['householder status=rent'],"['number in household=1', 'number of children=0']",0.28839441535776617,0.6880638445523942
277,"['householder status=rent', 'number in household=1']",['number of children=0'],0.28839441535776617,0.8449083936940776
278,"['type of home=apartment', 'number of children=0']",['number in household=1'],0.20287958115183247,0.9489795918367347
279,['type of home=apartment'],"['number in household=1', 'number of children=0']",0.20287958115183247,0.7361477572559367
280,"['number in household=1', 'type of home=apartment']",['number of children=0'],0.20287958115183247,0.8418829209414604
281,"['marital status=single', 'age=14-34']","['income=$0-$40,000']",0.30002908667830136,0.8209311579785118
282,['age=14-34'],"['income=$0-$40,000', 'marital status=single']",0.30002908667830136,0.5125465838509317
283,['marital status=single'],"['income=$0-$40,000', 'age=14-34']",0.30002908667830136,0.7333807323142553
284,"['income=$0-$40,000', 'age=14-34']",['marital status=single'],0.30002908667830136,0.6872085276482345
285,"['income=$0-$40,000', 'marital status=single']",['age=14-34'],0.30002908667830136,0.9084103918978423
286,"['sex=male', 'number of children=0']",['dual incomes=not married'],0.2053519488074462,0.683115626511853
287,"['dual incomes=not married', 'number of children=0']",['sex=male'],0.2053519488074462,0.5172161172161173
288,"['dual incomes=not married', 'sex=male']",['number of children=0'],0.2053519488074462,0.7255909558067831
289,"['householder status=own', 'years in bay area=10+']",['type of home=house'],0.2459278650378127,0.8544719555330975
290,['householder status=own'],"['type of home=house', 'years in bay area=10+']",0.2459278650378127,0.6544117647058824
291,"['type of home=house', 'years in bay area=10+']",['householder status=own'],0.2459278650378127,0.5636666666666666
292,"['type of home=house', 'householder status=own']",['years in bay area=10+'],0.2459278650378127,0.7778288868445262
293,"['education=no college graduate', 'ethnic classification=white']",['age=14-34'],0.26337987201861546,0.5902868318122555
294,"['age=14-34', 'ethnic classification=white']",['education=no college graduate'],0.26337987201861546,0.7437371663244353
295,"['age=14-34', 'education=no college graduate']",['ethnic classification=white'],0.26337987201861546,0.5738276299112801
296,"['householder status=rent', 'language in home=english']","['income=$0-$40,000']",0.29464805119255383,0.7677150435771125
297,['householder status=rent'],"['income=$0-$40,000', 'language in home=english']",0.29464805119255383,0.7029840388619014
298,"['income=$0-$40,000', 'language in home=english']",['householder status=rent'],0.29464805119255383,0.5281543274244004
299,"['income=$0-$40,000', 'householder status=rent']",['language in home=english'],0.29464805119255383,0.9113810166441746
300,"['income=$40,000+', 'language in home=english']",['number of children=0'],0.225130890052356,0.634166325276526
301,"['income=$40,000+']","['number of children=0', 'language in home=english']",0.225130890052356,0.5963020030816641
302,"['income=$40,000+', 'number of children=0']",['language in home=english'],0.225130890052356,0.9496932515337423
303,"['occupation=professional/managerial', 'language in home=english']",['number in household=1'],0.2593077370564282,0.8017086330935251
304,['occupation=professional/managerial'],"['number in household=1', 'language in home=english']",0.2593077370564282,0.7642520360051436
305,"['number in household=1', 'occupation=professional/managerial']",['language in home=english'],0.2593077370564282,0.9669197396963124
306,"['number in household=1', 'sex=female']",['dual incomes=not married'],0.21495055264688773,0.5755451713395638
307,"['dual incomes=not married', 'sex=female']",['number in household=1'],0.21495055264688773,0.6817343173431735
308,"['dual incomes=not married', 'number in household=1']",['sex=female'],0.21495055264688773,0.5108883511925337
309,"['sex=female', 'number of children=0']",['education=no college graduate'],0.21291448516579406,0.6627433227704844
310,"['education=no college graduate', 'number of children=0']",['sex=female'],0.21291448516579406,0.5339168490153173
311,"['education=no college graduate', 'sex=female']",['number of children=0'],0.21291448516579406,0.5254845656855707
312,"['sex=female', 'language in home=english']",['number in household=1'],0.35340314136125656,0.6899488926746167
313,['sex=female'],"['number in household=1', 'language in home=english']",0.35340314136125656,0.6379627198739827
314,"['number in household=1', 'language in home=english']",['sex=female'],0.35340314136125656,0.5441110613524407
315,['number in household=1'],"['sex=female', 'language in home=english']",0.35340314136125656,0.5108261509354636
316,"['number in household=1', 'sex=female']",['language in home=english'],0.35340314136125656,0.9462616822429907
317,"['sex=male', 'language in home=english']","['income=$0-$40,000']",0.23792902850494474,0.5938294010889292
318,['sex=male'],"['income=$0-$40,000', 'language in home=english']",0.23792902850494474,0.5334202804043039
319,"['income=$0-$40,000', 'sex=male']",['language in home=english'],0.23792902850494474,0.8776824034334764
320,"['sex=male', 'language in home=english']",['ethnic classification=white'],0.28534031413612565,0.7121597096188748
321,['sex=male'],"['ethnic classification=white', 'language in home=english']",0.28534031413612565,0.6397130746657972
322,"['sex=male', 'ethnic classification=white']",['language in home=english'],0.28534031413612565,0.9819819819819819
323,"['sex=female', 'years in bay area=10+']",['type of home=house'],0.2515997673065736,0.6794972505891594
324,"['type of home=house', 'years in bay area=10+']",['sex=female'],0.2515997673065736,0.5766666666666667
325,"['type of home=house', 'sex=female']",['years in bay area=10+'],0.2515997673065736,0.7444061962134251
326,"['householder status=own', 'years in bay area=10+']",['number in household=1'],0.20913321698662013,0.7266296109146033
327,['householder status=own'],"['number in household=1', 'years in bay area=10+']",0.20913321698662013,0.5565015479876161
328,"['number in household=1', 'householder status=own']",['years in bay area=10+'],0.20913321698662013,0.7702196036422068
329,"['years in bay area=1-9', 'language in home=english']",['age=14-34'],0.2198952879581152,0.7058823529411765
330,['years in bay area=1-9'],"['age=14-34', 'language in home=english']",0.2198952879581152,0.6222222222222222
331,"['age=14-34', 'years in bay area=1-9']",['language in home=english'],0.2198952879581152,0.8684663986214819
332,"['number in household=1', 'education=no college graduate']",['householder status=rent'],0.2268760907504363,0.5022537025112686
333,"['householder status=rent', 'education=no college graduate']",['number in household=1'],0.2268760907504363,0.7768924302788844
334,['householder status=rent'],"['education=no college graduate', 'number in household=1']",0.2268760907504363,0.5412907702984039
335,"['householder status=rent', 'number in household=1']",['education=no college graduate'],0.2268760907504363,0.6646783127396677
336,"['sex=female', 'language in home=english']","['income=$0-$40,000']",0.31995346131471786,0.6246450880181715
337,['sex=female'],"['income=$0-$40,000', 'language in home=english']",0.31995346131471786,0.5775794171698608
338,"['income=$0-$40,000', 'language in home=english']",['sex=female'],0.31995346131471786,0.5735140771637122
339,"['income=$0-$40,000']","['sex=female', 'language in home=english']",0.31995346131471786,0.514018691588785
